text,label
Tempora velit dolor dolorem consectetur.,positive
Numquam porro amet etincidunt consectetur.,positive
Eius ut ipsum neque.,negative
Sit adipisci etincidunt sed consectetur neque ipsum.,negative
Magnam magnam etincidunt porro.,positive
Ipsum numquam dolore sed eius eius.,negative
Sed velit non quisquam.,positive
Quiquia sit modi dolorem quiquia amet ut quaerat.,positive
Dolor etincidunt magnam sed ut modi ipsum porro.,negative
Ipsum ipsum modi ut amet ut voluptatem.,negative
Modi eius adipisci dolor adipisci aliquam quiquia dolore.,positive
Quaerat quiquia numquam aliquam non.,negative
Aliquam modi sit quaerat neque tempora sed neque.,positive
Numquam neque neque ut est non.,positive
Quaerat etincidunt eius quiquia non numquam dolorem.,negative
Etincidunt consectetur numquam voluptatem.,positive
Amet sit consectetur magnam magnam consectetur.,positive
Porro est consectetur magnam.,positive
Dolorem labore voluptatem dolore.,positive
Est quisquam magnam labore.,negative
Porro consectetur est sit consectetur non est dolor.,positive
Adipisci labore ipsum neque neque est dolor.,negative
Numquam consectetur est sed.,negative
Non est aliquam aliquam.,negative
Eius dolor quaerat amet numquam.,positive
Modi magnam neque neque magnam non aliquam eius.,positive
Dolore tempora quisquam etincidunt quiquia voluptatem.,positive
Consectetur neque eius labore sed.,positive
Eius eius porro ipsum.,negative
Adipisci aliquam dolor adipisci labore quisquam numquam.,negative
Non est quaerat labore adipisci.,positive
Modi ipsum modi eius quaerat etincidunt voluptatem.,positive
Modi voluptatem dolor dolore etincidunt ut velit.,negative
Ut numquam dolor dolore aliquam adipisci sit.,positive
Quisquam dolore labore amet modi.,positive
Modi quaerat neque consectetur magnam velit modi.,positive
Neque modi quiquia amet tempora quiquia neque.,negative
Amet dolore sit modi sed etincidunt etincidunt labore.,negative
Consectetur numquam neque labore.,positive
Est ipsum sed velit dolorem ut voluptatem adipisci.,negative
Ipsum amet quaerat dolorem.,negative
Quiquia etincidunt ut dolor.,negative
Quisquam magnam amet amet.,positive
Ipsum quiquia etincidunt eius quisquam dolore consectetur.,negative
Consectetur consectetur non quiquia dolorem voluptatem adipisci non.,positive
Sit est aliquam non dolorem.,negative
Numquam numquam quiquia sit neque.,negative
Amet est quiquia etincidunt labore.,positive
Adipisci non labore etincidunt adipisci numquam.,positive
Dolor modi etincidunt voluptatem labore sit ut.,positive
Dolore dolore est sed labore etincidunt porro sed.,positive
Porro dolorem ipsum sit amet consectetur.,positive
Magnam est magnam eius amet.,negative
Sit ipsum tempora velit eius dolore velit dolore.,positive
Dolore voluptatem velit dolore sit.,negative
Quiquia dolor non quaerat.,positive
Etincidunt quaerat dolore est est.,negative
Voluptatem quaerat consectetur adipisci neque dolore.,negative
Labore numquam sit numquam.,negative
Magnam dolorem adipisci quiquia labore labore porro.,positive
Porro quiquia quiquia neque quisquam tempora dolore numquam.,negative
Velit non adipisci labore ut dolorem dolor quisquam.,positive
Dolorem est dolor adipisci quaerat ipsum labore dolor.,positive
Amet labore labore quiquia voluptatem quiquia modi quisquam.,negative
Est sit numquam quiquia sit adipisci.,positive
Eius non non amet.,negative
Tempora quisquam eius tempora amet.,negative
Sed aliquam consectetur sit adipisci dolor.,positive
Quiquia etincidunt adipisci adipisci velit eius est non.,positive
Magnam non etincidunt quaerat ipsum aliquam quiquia porro.,positive
Modi quiquia tempora labore.,negative
Numquam dolorem tempora modi neque ipsum dolor amet.,positive
Sed numquam quisquam numquam quaerat neque ut amet.,negative
Etincidunt dolore porro est porro.,positive
Non ut dolor velit dolor dolor neque sit.,positive
Dolorem etincidunt consectetur est tempora numquam quisquam.,negative
Aliquam quiquia etincidunt consectetur modi labore.,negative
Sit numquam ut dolorem.,positive
Quaerat porro est magnam porro adipisci dolorem adipisci.,positive
Amet dolore sit velit ut ipsum.,positive
Quisquam magnam quaerat magnam aliquam amet est.,positive
Amet est neque magnam neque quisquam.,positive
Porro voluptatem magnam sit numquam voluptatem non.,positive
Dolor adipisci tempora est non dolore.,negative
Non velit ut quaerat dolor numquam consectetur.,negative
Labore neque quiquia labore magnam.,negative
Non porro modi non eius.,negative
Porro neque tempora tempora tempora sit est adipisci.,negative
Modi modi porro voluptatem modi consectetur eius.,positive
Amet magnam numquam consectetur dolorem consectetur ipsum.,negative
Quaerat porro adipisci adipisci ut.,negative
Est amet etincidunt eius dolor velit non magnam.,negative
Etincidunt numquam non neque magnam non amet.,negative
Tempora sit modi modi consectetur.,negative
Amet porro quaerat porro quisquam quisquam sit numquam.,negative
Porro sed magnam quaerat etincidunt velit magnam labore.,positive
Amet quiquia etincidunt magnam numquam quisquam amet.,negative
Amet quisquam velit adipisci consectetur labore modi.,positive
Voluptatem porro aliquam non etincidunt.,negative
Dolor sit porro aliquam velit.,negative
Quiquia aliquam dolore adipisci ipsum quiquia.,negative
Eius quaerat eius etincidunt etincidunt porro.,negative
Numquam dolor magnam sit est.,negative
Ut quisquam porro aliquam dolorem neque tempora.,positive
Etincidunt est quaerat quaerat neque.,negative
Ipsum neque sed quaerat.,negative
Adipisci neque sit numquam.,positive
Quisquam dolorem voluptatem velit voluptatem dolor numquam.,positive
Neque ut quiquia etincidunt amet quisquam eius non.,negative
Amet ipsum amet sed amet voluptatem quiquia.,negative
Tempora adipisci quaerat labore tempora numquam magnam labore.,positive
Numquam ut est numquam neque.,positive
Ipsum neque velit adipisci labore.,positive
Quiquia quiquia etincidunt dolore voluptatem sit.,positive
Est quaerat non eius magnam voluptatem.,positive
Dolor numquam tempora numquam porro dolorem.,positive
Porro sed quaerat quiquia tempora ipsum aliquam eius.,positive
Amet dolor modi quaerat labore quaerat est.,positive
Ipsum neque quaerat voluptatem eius dolore dolor non.,positive
Sit numquam non tempora est non ut.,negative
Est quisquam quiquia numquam consectetur numquam sit neque.,negative
Consectetur tempora porro amet.,negative
Voluptatem est ipsum numquam magnam ipsum labore adipisci.,positive
Neque dolore neque tempora ut.,negative
Dolor amet dolor etincidunt quiquia.,positive
Quiquia adipisci numquam non est neque est.,positive
Magnam adipisci aliquam dolor.,positive
Neque neque quisquam quiquia consectetur amet velit.,positive
Quiquia dolor est labore.,negative
Quisquam etincidunt non dolorem.,negative
Voluptatem labore tempora sed.,positive
Consectetur amet aliquam velit ipsum etincidunt.,positive
Tempora dolorem dolor voluptatem quiquia magnam.,positive
Dolor eius eius neque porro etincidunt tempora est.,negative
Tempora sit dolorem consectetur numquam.,positive
Dolorem consectetur non est.,negative
Amet dolor modi porro labore aliquam.,positive
Est amet tempora voluptatem magnam.,negative
Sit non quaerat est quaerat sed neque ut.,negative
Quiquia est porro porro.,negative
Sed dolor consectetur quisquam tempora non ut non.,positive
Modi eius non eius ut.,negative
Non dolorem velit numquam quiquia adipisci.,negative
Modi dolore quiquia magnam.,negative
Non adipisci voluptatem sed porro amet.,negative
Tempora aliquam amet numquam quisquam etincidunt tempora porro.,negative
Etincidunt dolore est quiquia porro.,negative
Adipisci quaerat tempora sed sed ut.,positive
Magnam quiquia quaerat dolorem labore sed consectetur.,negative
Ipsum eius ipsum velit quiquia dolorem quaerat.,negative
Est quaerat magnam tempora labore quaerat ipsum.,negative
Magnam dolorem aliquam magnam ipsum est ut est.,negative
Labore velit aliquam quiquia tempora velit.,negative
Neque porro magnam etincidunt sit voluptatem.,positive
Numquam est tempora velit.,positive
Adipisci ipsum velit quisquam eius.,negative
Consectetur ut etincidunt velit modi eius dolore porro.,positive
Amet velit neque eius modi.,positive
Etincidunt ipsum dolorem magnam magnam.,positive
Etincidunt porro dolore tempora labore.,negative
Modi consectetur sit amet amet non ipsum.,positive
Velit non consectetur magnam magnam quaerat.,negative
Quisquam modi dolorem magnam.,positive
Modi modi aliquam quiquia.,negative
Velit dolorem quiquia quisquam consectetur neque.,negative
Non aliquam quaerat ipsum velit quaerat aliquam.,positive
Est voluptatem ipsum quiquia.,positive
Voluptatem voluptatem numquam voluptatem dolor numquam porro.,positive
Eius tempora quaerat labore aliquam.,positive
Porro magnam adipisci quiquia quisquam etincidunt sed.,positive
Quaerat neque voluptatem quisquam etincidunt porro numquam consectetur.,negative
Ipsum quiquia dolore adipisci etincidunt.,positive
Sed est dolorem quaerat.,negative
Quisquam porro quiquia ipsum.,positive
Quaerat labore quaerat magnam.,negative
Quiquia neque ut quisquam etincidunt.,positive
Quaerat quaerat voluptatem aliquam.,positive
Quaerat est sit eius adipisci.,positive
Labore porro non eius consectetur dolore.,negative
Quiquia quisquam velit neque labore aliquam amet.,positive
Dolorem voluptatem dolore sit.,negative
Non velit numquam sit consectetur dolor modi.,positive
Labore etincidunt adipisci magnam.,positive
Non est sit sed voluptatem non.,negative
Est tempora non amet numquam aliquam.,negative
Eius sed numquam quisquam eius magnam amet dolor.,negative
Quiquia eius etincidunt dolorem est quiquia quaerat.,negative
Numquam etincidunt velit quisquam velit labore.,negative
Voluptatem voluptatem quaerat quiquia.,positive
Ut sit aliquam adipisci consectetur velit sed.,positive
Quaerat sed sit quaerat.,positive
Tempora quaerat modi dolor modi adipisci aliquam.,negative
Tempora porro quiquia quiquia quisquam quiquia etincidunt.,negative
Amet modi porro ut velit ut numquam amet.,negative
Amet adipisci modi velit.,negative
Amet etincidunt ut neque.,negative
Adipisci quaerat dolor ipsum non eius.,negative
Quisquam amet eius ipsum porro ipsum.,positive
Adipisci eius est labore sed non magnam amet.,positive
Eius sed aliquam velit sit labore eius tempora.,negative
Magnam tempora etincidunt voluptatem consectetur modi etincidunt.,negative
Ut ipsum dolorem sit porro etincidunt sit aliquam.,negative
Dolor etincidunt voluptatem tempora.,positive
Quisquam sed quiquia amet tempora etincidunt velit etincidunt.,positive
Dolor velit ut sed sit ut est non.,positive
Sed modi labore neque magnam quisquam ut voluptatem.,positive
Eius neque aliquam adipisci quisquam neque sed.,positive
Dolor porro sed numquam non ut etincidunt.,negative
Eius numquam tempora sit labore.,negative
Quisquam ipsum sed magnam dolor.,negative
Sit velit sit adipisci ipsum neque quisquam porro.,negative
Etincidunt amet sed aliquam.,positive
Tempora quisquam dolore ipsum ipsum sit adipisci.,negative
Sit ut porro tempora aliquam numquam ipsum dolor.,negative
Quisquam quiquia numquam dolore amet porro ut sit.,negative
Voluptatem sit dolorem sed est magnam ut.,negative
Consectetur magnam neque voluptatem.,negative
Sit labore ut numquam neque quisquam magnam velit.,positive
Est sit labore ipsum est.,negative
Aliquam non non modi.,positive
Ipsum sed neque ipsum dolor sit adipisci.,positive
Magnam adipisci velit velit sit ipsum.,positive
Aliquam consectetur porro velit.,negative
Modi sed sed neque.,positive
Quisquam modi neque quaerat.,negative
Amet dolore numquam dolor.,positive
Labore ut porro quisquam consectetur velit aliquam quaerat.,positive
Sit ut ut dolore velit dolore ut.,positive
Aliquam quisquam non est non numquam amet eius.,positive
Quiquia neque est sed ut est.,positive
Consectetur quisquam amet consectetur labore labore consectetur.,negative
Porro labore neque eius aliquam.,positive
Magnam etincidunt modi tempora.,positive
Tempora voluptatem magnam voluptatem porro dolor.,negative
Porro amet eius numquam eius magnam.,negative
Dolor etincidunt non neque numquam etincidunt labore.,negative
Ut aliquam quaerat modi ut numquam quiquia ipsum.,positive
Velit numquam ipsum quaerat non est dolor.,negative
Est numquam sit est adipisci.,positive
Labore etincidunt sed sit est dolorem sit.,negative
Amet sed sit modi etincidunt dolorem.,negative
Ut neque numquam sed.,positive
Voluptatem magnam eius porro.,positive
Dolorem voluptatem labore non non eius quiquia.,positive
Velit ipsum etincidunt porro magnam dolore etincidunt aliquam.,negative
Amet labore dolore eius.,positive
Dolorem quiquia labore quisquam.,positive
Amet dolore quiquia adipisci.,positive
Voluptatem amet sit numquam.,negative
Adipisci amet ut quaerat dolorem magnam sed adipisci.,negative
Consectetur non est velit sed.,negative
Numquam adipisci neque aliquam adipisci consectetur dolorem.,negative
Voluptatem voluptatem numquam neque adipisci.,negative
Non quisquam consectetur eius numquam.,negative
Non non sit quisquam.,negative
Sed eius dolore tempora.,negative
Tempora eius quiquia quiquia tempora modi.,positive
Quisquam dolorem aliquam sed.,negative
Porro quiquia velit velit ut sit labore amet.,positive
Consectetur non non sed dolor quisquam aliquam quiquia.,positive
Quisquam porro adipisci neque porro labore neque.,positive
Magnam quaerat non adipisci.,negative
Velit amet voluptatem sed.,negative
Quiquia amet modi non est porro.,negative
Consectetur eius tempora voluptatem quisquam dolore quiquia.,negative
Numquam neque numquam amet amet numquam amet.,positive
Dolore labore eius quiquia modi labore quaerat ut.,positive
Tempora quiquia neque adipisci est sed non.,positive
Porro sit dolorem quaerat non dolorem.,positive
Quaerat etincidunt dolor modi magnam non non.,negative
Eius dolor modi sit labore est sed non.,positive
Ipsum ipsum ipsum est modi quiquia magnam.,negative
Quiquia dolor quisquam etincidunt ipsum velit velit.,positive
Modi numquam eius porro.,positive
Dolore non labore adipisci dolore tempora.,positive
Quaerat adipisci quiquia quiquia non labore aliquam.,positive
Dolore porro porro velit dolor amet velit.,positive
Quaerat neque labore magnam.,negative
Non labore magnam est ut non.,positive
Quisquam velit non adipisci.,negative
Dolore eius amet quaerat adipisci non ipsum.,negative
Consectetur sit eius porro.,positive
Quisquam consectetur ipsum adipisci magnam est consectetur ipsum.,negative
Porro consectetur sit magnam.,negative
Dolore voluptatem adipisci amet est quaerat.,positive
Dolore sed amet aliquam.,positive
Dolor eius eius modi labore.,positive
Numquam dolor est dolore ipsum.,positive
Neque eius modi labore modi dolor.,negative
Quiquia sit est numquam labore quiquia numquam.,positive
Voluptatem adipisci est tempora adipisci.,negative
Modi velit eius ut quisquam dolore.,negative
Dolor porro labore adipisci labore ipsum.,positive
Numquam eius dolore eius quaerat adipisci ut.,positive
Non tempora sed quaerat.,positive
Voluptatem aliquam dolorem sed.,positive
Aliquam amet ut non velit velit dolor tempora.,negative
Numquam aliquam eius sed adipisci non modi modi.,positive
Etincidunt tempora neque adipisci.,positive
Non non sed ut porro.,positive
Eius magnam non etincidunt porro modi aliquam.,positive
Quaerat sit etincidunt etincidunt amet.,positive
Ut etincidunt consectetur labore tempora velit labore.,positive
Sit amet consectetur quaerat quisquam ut quiquia voluptatem.,negative
Ipsum voluptatem numquam quisquam labore quiquia sed.,positive
Est quaerat non adipisci tempora sit porro sed.,positive
Porro aliquam sit amet velit magnam modi.,positive
Est quaerat amet adipisci aliquam non quaerat.,positive
Porro numquam non voluptatem.,negative
Numquam modi amet tempora voluptatem non dolore.,negative
Sit dolore voluptatem velit.,positive
Velit labore tempora consectetur non sit neque voluptatem.,negative
Velit numquam modi non porro non.,negative
Labore quiquia numquam adipisci.,negative
Ipsum labore magnam aliquam velit.,negative
Ipsum tempora magnam quisquam etincidunt.,positive
Sit velit eius velit quisquam.,positive
Eius quiquia etincidunt numquam adipisci.,positive
Voluptatem tempora ut sed etincidunt adipisci numquam.,negative
Eius voluptatem quisquam dolore modi voluptatem magnam ut.,positive
Labore numquam quaerat non voluptatem labore.,negative
Aliquam aliquam neque ipsum dolorem.,positive
Quisquam est quiquia ipsum voluptatem consectetur adipisci sit.,negative
Magnam non ipsum ut dolore.,positive
Magnam neque modi etincidunt dolorem eius eius.,negative
Sit sit sit numquam est porro quisquam modi.,positive
Velit quaerat dolor labore quisquam sit quaerat etincidunt.,positive
Dolor dolor neque quaerat magnam ut tempora porro.,positive
Quisquam sed quiquia sit porro dolorem.,negative
Sit tempora quaerat dolore.,positive
Amet labore est magnam tempora etincidunt quaerat sit.,positive
Ut consectetur est sed dolor ipsum ipsum.,positive
Ut tempora dolore dolor.,negative
Adipisci sit non tempora voluptatem ipsum ipsum.,negative
Dolorem est modi magnam.,negative
Numquam numquam porro numquam.,negative
Quiquia voluptatem dolore quiquia porro numquam.,positive
Aliquam est ipsum quaerat.,negative
Ipsum magnam modi magnam.,positive
Neque ipsum etincidunt modi adipisci porro voluptatem sit.,negative
Quaerat dolorem quiquia dolorem sed neque consectetur.,negative
Magnam aliquam etincidunt dolore.,negative
Non non magnam dolorem modi quaerat.,negative
Consectetur modi labore consectetur aliquam neque consectetur.,negative
Dolorem quisquam neque tempora dolorem.,negative
Tempora tempora magnam tempora ut magnam.,positive
Magnam quaerat quaerat magnam.,negative
Sed ipsum quaerat eius sit.,negative
Sit tempora tempora dolore etincidunt adipisci dolor etincidunt.,negative
Voluptatem voluptatem quisquam consectetur quisquam neque eius quiquia.,positive
Sit neque quaerat adipisci aliquam.,positive
Consectetur labore amet quiquia eius quiquia adipisci.,positive
Est labore dolore ut sit.,negative
Adipisci tempora porro modi eius tempora quaerat.,positive
Etincidunt consectetur labore ut consectetur neque neque.,positive
Tempora quisquam etincidunt modi non sit quisquam sit.,negative
Est quaerat neque quiquia quisquam aliquam.,negative
Dolor voluptatem magnam quaerat labore magnam etincidunt tempora.,positive
Amet amet porro porro quisquam ipsum voluptatem velit.,positive
Quisquam est sed est.,negative
Aliquam non quiquia sed tempora amet adipisci.,negative
Dolor labore consectetur quaerat tempora.,positive
Quisquam consectetur non aliquam amet amet.,negative
Velit modi adipisci non dolorem quaerat est.,positive
Ipsum dolor aliquam dolorem.,positive
Est tempora non consectetur.,positive
Porro ut ipsum porro eius.,negative
Eius aliquam quisquam est aliquam etincidunt non.,negative
Dolore voluptatem modi ut consectetur neque.,positive
Dolor ipsum tempora quiquia non velit.,negative
Modi dolorem magnam voluptatem quiquia quisquam tempora modi.,positive
Adipisci aliquam non quaerat.,positive
Neque numquam modi ipsum ipsum voluptatem magnam.,positive
Quisquam consectetur adipisci amet aliquam quaerat quisquam.,positive
Quaerat consectetur dolor quiquia quisquam adipisci labore sed.,positive
Porro ut quisquam adipisci magnam velit aliquam amet.,positive
Dolore quiquia quisquam ut quiquia.,positive
Magnam voluptatem eius adipisci eius.,negative
Quiquia sit tempora est sit.,positive
Ipsum non quaerat non tempora dolorem.,positive
Consectetur dolor est etincidunt neque magnam.,negative
Labore adipisci quisquam adipisci porro.,positive
Quaerat aliquam etincidunt labore consectetur est.,positive
Dolore voluptatem voluptatem labore adipisci quaerat tempora.,positive
Sed dolore velit porro.,negative
Quaerat consectetur aliquam labore tempora.,negative
Voluptatem sed est numquam quaerat eius.,negative
Porro amet quisquam consectetur quaerat.,negative
Labore quiquia quisquam adipisci quaerat labore numquam.,positive
Quisquam dolore velit sit sed sit.,positive
Etincidunt dolore eius quisquam aliquam.,negative
Neque ipsum dolor tempora quisquam consectetur.,negative
Sed tempora modi ut velit etincidunt neque.,negative
Quaerat velit quisquam est sed consectetur.,negative
Sit magnam voluptatem consectetur.,negative
Adipisci magnam modi consectetur quiquia dolorem quiquia.,positive
Velit sed quisquam quisquam consectetur consectetur velit modi.,positive
Etincidunt eius quiquia sed numquam sed ut.,positive
Ipsum labore non numquam aliquam.,negative
Sit neque velit ipsum quaerat tempora.,negative
Sed numquam adipisci quisquam magnam.,positive
Consectetur dolore ipsum dolor.,positive
Amet modi ut labore quaerat.,negative
Modi dolor ut numquam sed quisquam numquam.,positive
Dolore quisquam sit aliquam aliquam.,positive
Ut magnam modi aliquam neque dolor.,positive
Est magnam amet tempora tempora.,negative
Voluptatem sed non quiquia modi eius.,positive
Sit sit neque numquam sit numquam.,positive
Dolor numquam ut labore velit.,negative
